model,condition,eval_dataset,n,accuracy,ece,ece_ci_lo,ece_ci_hi,adaptive_ece,adaptive_ece_ci_lo,adaptive_ece_ci_hi,mce,brier,brier_ci_lo,brier_ci_hi,nll,nll_ci_lo,nll_ci_hi,aurc,aurc_ci_lo,aurc_ci_hi,e_aurc,e_aurc_ci_lo,e_aurc_ci_hi,sel_acc_100,sel_acc_90,sel_acc_80,sel_acc_70,sel_acc_50,coverage_at_5pct_risk,auroc_optsoftmax,auroc_entropy,auroc_mean_logprob
llavaov,pathvqa,slake_en,357,0.574230,0.357341,0.311785,0.413449,0.357341,0.309217,0.410018,0.776762,0.710750,0.626838,0.806572,1.197230,1.051658,1.365041,0.285179,0.221551,0.357632,0.177353,0.129794,0.231188,0.574230,0.608696,0.650350,0.716000,0.782123,0.005602,0.744255,0.744255,0.744255
llavaov,pathvqa,vqa_rad,122,0.540984,0.411108,0.339804,0.506917,0.399578,0.322628,0.490324,0.480332,0.834076,0.684759,0.994969,1.649106,1.349784,2.010574,0.505220,0.390987,0.635195,0.376692,0.285438,0.466814,0.540984,0.536364,0.510204,0.500000,0.475410,0.000000,0.424242,0.424242,0.424242
llavaov,slake_en,pathvqa,2060,0.613107,0.128679,0.110537,0.151417,0.135774,0.115704,0.155531,0.317977,0.502679,0.480111,0.525630,0.750589,0.714961,0.787106,0.288794,0.264663,0.312950,0.201749,0.183669,0.219574,0.613107,0.623517,0.634102,0.656727,0.684466,0.069903,0.604367,0.604367,0.603712
llavaov,slake_en,slake_en,357,0.736695,0.198445,0.172522,0.254685,0.186752,0.165353,0.249786,0.266528,0.476381,0.399538,0.557011,1.541288,1.253604,1.857692,0.383019,0.313006,0.455285,0.344466,0.282353,0.403567,0.736695,0.742236,0.751748,0.732000,0.720670,0.000000,0.421042,0.421042,0.420840
llavaov,slake_en,vqa_rad,122,0.680328,0.121071,0.090196,0.221273,0.123369,0.115628,0.244049,0.241317,0.437171,0.343971,0.542722,0.716132,0.553269,0.912440,0.231516,0.145952,0.341492,0.172587,0.104812,0.259384,0.680328,0.709091,0.734694,0.755814,0.770492,0.049180,0.640717,0.640717,0.638554
llavaov,vqa_rad,pathvqa,2060,0.618932,0.165605,0.147567,0.188049,0.166559,0.149060,0.190131,0.304044,0.532530,0.509605,0.556923,0.802911,0.765395,0.840949,0.328947,0.303122,0.357845,0.244725,0.224324,0.267573,0.618932,0.616505,0.627427,0.635922,0.657282,0.002913,0.553607,0.553607,0.553317
llavaov,vqa_rad,slake_en,357,0.750700,0.173391,0.138307,0.224051,0.173391,0.136193,0.218828,0.479691,0.384046,0.313728,0.463839,0.850058,0.665677,1.055361,0.139379,0.097861,0.188554,0.104993,0.071495,0.143247,0.750700,0.791925,0.821678,0.852000,0.849162,0.067227,0.717256,0.717256,0.717927
llavaov,vqa_rad,vqa_rad,122,0.663934,0.215052,0.159659,0.302241,0.216115,0.155515,0.302266,0.471725,0.483888,0.368150,0.608913,0.838293,0.612662,1.095049,0.174246,0.109339,0.255280,0.108737,0.061196,0.168035,0.663934,0.681818,0.734694,0.767442,0.819672,0.090164,0.741945,0.741945,0.738031
llavaov,zero_shot,pathvqa,2060,0.641748,0.244100,0.224449,0.265028,0.242780,0.221732,0.262986,0.306784,0.578420,0.546106,0.608763,0.992758,0.936714,1.047717,0.257725,0.236892,0.280050,0.184039,0.168232,0.201025,0.641748,0.659115,0.668083,0.665049,0.683495,0.111650,0.598388,0.598388,0.479382
llavaov,zero_shot,slake_en,357,0.501401,0.447445,0.398490,0.502343,0.444838,0.393866,0.499057,0.777300,0.865609,0.774744,0.964208,1.728793,1.523402,1.943826,0.230100,0.187814,0.282202,0.076945,0.055687,0.099804,0.501401,0.521739,0.562937,0.608000,0.776536,0.288515,0.832026,0.832026,0.480478
llavaov,zero_shot,vqa_rad,122,0.508197,0.349481,0.273379,0.447235,0.349701,0.274030,0.441760,0.706187,0.720161,0.588412,0.861604,1.112191,0.895537,1.352657,0.311532,0.225071,0.418643,0.161713,0.106604,0.224278,0.508197,0.509091,0.540816,0.558140,0.622951,0.073770,0.678763,0.678763,0.558871
medgemma,pathvqa,pathvqa,2060,0.546117,0.293188,0.277502,0.317261,0.293137,0.276739,0.316856,0.534371,0.664217,0.635829,0.692013,0.938202,0.897537,0.977183,0.315318,0.294218,0.338192,0.191683,0.177265,0.207180,0.546117,0.540453,0.523665,0.511789,0.591262,0.191748,0.584486,0.584486,0.584074
medgemma,pathvqa,slake_en,357,0.647059,0.093137,0.072284,0.149555,0.153433,0.116386,0.200050,0.683420,0.479870,0.440295,0.524547,0.693475,0.643473,0.748897,0.390731,0.323431,0.461746,0.318973,0.259155,0.374238,0.647059,0.670807,0.664336,0.680000,0.664804,0.000000,0.524806,0.524806,0.528173
medgemma,pathvqa,vqa_rad,122,0.557377,0.292786,0.230358,0.406552,0.315946,0.245434,0.405396,0.495998,0.713967,0.588255,0.850279,1.379611,1.089788,1.701320,0.498610,0.377953,0.622724,0.379974,0.290152,0.468638,0.557377,0.563636,0.540816,0.534884,0.524590,0.008197,0.440632,0.440632,0.443355
medgemma,slake_en,pathvqa,2060,0.662136,0.263227,0.245319,0.284095,0.261588,0.242927,0.282508,0.305985,0.581032,0.545364,0.616458,1.300161,1.203332,1.390716,0.329714,0.298441,0.360603,0.264756,0.239795,0.290486,0.662136,0.677994,0.699029,0.705270,0.728155,0.000000,0.564365,0.564365,0.564379
medgemma,slake_en,slake_en,357,0.871148,0.116011,0.084322,0.152145,0.116491,0.083485,0.152659,0.798187,0.236048,0.170161,0.305315,0.660685,0.454701,0.876602,0.116168,0.058394,0.173153,0.107305,0.052049,0.161466,0.871148,0.900621,0.923077,0.944000,0.944134,0.002801,0.709702,0.709702,0.709702
medgemma,slake_en,vqa_rad,122,0.655738,0.298965,0.230897,0.392329,0.287719,0.219910,0.379581,0.817720,0.624325,0.473854,0.773822,1.590165,1.147134,2.025671,0.296216,0.191766,0.401156,0.227265,0.146959,0.304941,0.655738,0.663636,0.683673,0.686047,0.672131,0.032787,0.547917,0.547917,0.547619
medgemma,vqa_rad,pathvqa,2060,0.662621,0.262388,0.242880,0.282482,0.260091,0.239053,0.279957,0.307702,0.584141,0.547104,0.616165,1.100342,1.025099,1.167843,0.322239,0.290604,0.352381,0.257481,0.232100,0.281461,0.662621,0.672600,0.688107,0.695562,0.700000,0.000000,0.557528,0.557528,0.557979
medgemma,vqa_rad,slake_en,357,0.823529,0.158419,0.121730,0.200885,0.159336,0.124080,0.201636,0.500000,0.333464,0.258817,0.411891,0.930287,0.711795,1.177940,0.189184,0.124580,0.248950,0.172360,0.111504,0.227115,0.823529,0.844720,0.846154,0.836000,0.787709,0.000000,0.541086,0.541086,0.541140
medgemma,vqa_rad,vqa_rad,122,0.786885,0.176583,0.113740,0.246205,0.180014,0.119111,0.252016,0.679604,0.364274,0.242089,0.489489,0.866708,0.548956,1.208691,0.156750,0.081747,0.240956,0.131360,0.064425,0.205605,0.786885,0.836364,0.846939,0.837209,0.836066,0.032787,0.651042,0.651042,0.651042
medgemma,zero_shot,pathvqa,2060,0.639320,0.330117,0.309801,0.351295,0.330117,0.309793,0.351212,0.408930,0.670178,0.632792,0.710725,2.365966,2.201279,2.528670,0.280500,0.254025,0.307384,0.205732,0.184291,0.227864,0.639320,0.659115,0.686286,0.705964,0.738835,0.000000,0.638255,0.638255,0.589783
medgemma,zero_shot,slake_en,357,0.865546,0.124752,0.096322,0.166729,0.118243,0.087455,0.157330,0.679179,0.257973,0.195453,0.331148,0.830645,0.615268,1.091314,0.056609,0.034238,0.086155,0.046947,0.026690,0.072778,0.865546,0.885093,0.898601,0.936000,0.949721,0.582633,0.757821,0.757821,0.495955
medgemma,zero_shot,vqa_rad,122,0.721311,0.262922,0.194243,0.342368,0.249522,0.177716,0.326851,0.713765,0.509355,0.367154,0.657963,1.813911,1.232654,2.448609,0.181131,0.107541,0.270498,0.136946,0.078399,0.204906,0.721311,0.745455,0.785714,0.790698,0.819672,0.065574,0.662767,0.662767,0.330548
qwen25vl,pathvqa,pathvqa,2060,0.879126,0.059473,0.049553,0.074589,0.059485,0.047885,0.073520,0.223398,0.181633,0.163058,0.204072,0.316530,0.281514,0.358209,0.032549,0.026803,0.039482,0.024901,0.019987,0.030408,0.879126,0.920712,0.950243,0.956311,0.972816,0.800000,0.835942,0.835942,0.836133
qwen25vl,pathvqa,slake_en,357,0.523810,0.415043,0.368531,0.470113,0.415043,0.365914,0.468452,0.829721,0.836272,0.747227,0.932261,1.517050,1.356160,1.698733,0.445125,0.372110,0.524306,0.306978,0.247015,0.369648,0.523810,0.546584,0.580420,0.588000,0.569832,0.000000,0.574143,0.574143,0.573860
qwen25vl,pathvqa,vqa_rad,122,0.565574,0.381950,0.301754,0.477578,0.377377,0.290930,0.470046,0.592667,0.774008,0.615179,0.942526,1.748044,1.365389,2.146111,0.406857,0.297879,0.537115,0.292986,0.207246,0.390184,0.565574,0.581818,0.602041,0.593023,0.590164,0.008197,0.543068,0.543068,0.543342
qwen25vl,slake_en,pathvqa,2060,0.631553,0.064723,0.049311,0.085871,0.069563,0.054667,0.089330,0.129322,0.456663,0.440776,0.474185,0.656181,0.635742,0.678971,0.282082,0.258379,0.310169,0.203791,0.184137,0.225537,0.631553,0.645092,0.661408,0.678225,0.707767,0.000000,0.619918,0.619918,0.619635
qwen25vl,slake_en,slake_en,357,0.787115,0.060433,0.042918,0.105009,0.065474,0.053564,0.113026,0.201443,0.272641,0.230032,0.317514,0.432053,0.366021,0.504923,0.086886,0.054948,0.127096,0.062124,0.035966,0.097693,0.787115,0.832298,0.856643,0.884000,0.944134,0.453782,0.801367,0.801367,0.801601
qwen25vl,slake_en,vqa_rad,122,0.663934,0.221035,0.152926,0.306751,0.221882,0.174783,0.314424,0.285698,0.522099,0.422059,0.628898,0.781931,0.638026,0.944511,0.290120,0.193568,0.394123,0.224611,0.153562,0.298811,0.663934,0.654545,0.632653,0.616279,0.639344,0.073770,0.499247,0.499247,0.499247
qwen25vl,vqa_rad,pathvqa,2060,0.570874,0.273828,0.253244,0.297520,0.272642,0.253222,0.296184,0.358932,0.658243,0.628486,0.690888,1.093985,1.041340,1.155378,0.361702,0.335342,0.392076,0.252496,0.230698,0.273940,0.570874,0.577131,0.586165,0.584605,0.607767,0.001942,0.567072,0.567072,0.567555
