model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
qwen25vl,pathvqa,brightness_shift,1,2060,0.8800970873786408,0.05775334741525503,0.03234299109887128,0.9535367545076283
qwen25vl,pathvqa,brightness_shift,2,2060,0.8805825242718447,0.05614298524610924,0.03255006242495455,0.9528432732316228
qwen25vl,pathvqa,brightness_shift,3,2060,0.8820388349514563,0.05173313587901114,0.03150575607696117,0.9535367545076283
qwen25vl,pathvqa,contrast_shift,1,2060,0.8815533980582524,0.05647278362011213,0.032735487747108855,0.9542302357836339
qwen25vl,pathvqa,contrast_shift,2,2060,0.8800970873786408,0.05574692553122759,0.032208778695963856,0.957004160887656
qwen25vl,pathvqa,contrast_shift,3,2060,0.8830097087378641,0.04878312917804649,0.03253392984933221,0.9535367545076283
qwen25vl,pathvqa,jpeg_compression,1,2060,0.8776699029126214,0.06007296621054507,0.03130349592168903,0.9576976421636616
qwen25vl,pathvqa,jpeg_compression,2,2060,0.8830097087378641,0.057653414859373864,0.03148387828851984,0.9611650485436893
qwen25vl,pathvqa,jpeg_compression,3,2060,0.8762135922330098,0.05843208115167163,0.03202412754071578,0.9597780859916782
qwen25vl,pathvqa,downscale_upscale,1,2060,0.8805825242718447,0.05876446747344891,0.03252702324978668,0.9563106796116505
qwen25vl,pathvqa,downscale_upscale,2,2060,0.8800970873786408,0.057514524182478155,0.032072741336655795,0.955617198335645
qwen25vl,pathvqa,downscale_upscale,3,2060,0.8762135922330098,0.05691702973014799,0.03238557715046698,0.9576976421636616
internvl,vqa_rad,clean,0,122,0.7950819672131147,0.1688841946980978,0.1429484315211908,0.8604651162790697
internvl,vqa_rad,gaussian_noise,1,122,0.7786885245901639,0.1658967729898443,0.14964990374166134,0.8488372093023255
internvl,vqa_rad,gaussian_noise,2,122,0.7786885245901639,0.1840863960031189,0.1516351827998333,0.8488372093023255
internvl,vqa_rad,gaussian_noise,3,122,0.7622950819672131,0.1858448221110671,0.1488307113916714,0.8488372093023255
internvl,vqa_rad,gaussian_blur,1,122,0.7868852459016393,0.14544350780873577,0.14954733710959103,0.8372093023255814
internvl,vqa_rad,gaussian_blur,2,122,0.7786885245901639,0.18890462775695666,0.15125056592759498,0.8372093023255814
internvl,vqa_rad,gaussian_blur,3,122,0.7622950819672131,0.1714736944073166,0.14392757350705224,0.8255813953488372
internvl,vqa_rad,motion_blur,1,122,0.7950819672131147,0.17365505274788756,0.14675705568974862,0.8488372093023255
